VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,Brand_name
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205,1530426.1000000215,89158,428401.6199998957,2095419.4199996933,70195.84000000654,123780.21999999996,585768.0599999997,27.954692717321738,0.9565795826404164,1.3691738660231054,Jameson Irish
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942,1498161.9600000305,60007,433840.3099999158,1799275.9299997925,110255.16999998456,257032.0700000001,456653.27,25.37983543191469,0.8964028562038779,1.2009889304623351,Johnnie Walker
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001,1478001.420000022,68931,488580.2899998989,2153650.6899998123,126650.8999999873,89286.26999999999,590738.6699999998,27.42964180509938,0.9989855219489572,1.4571370912483834,Dewars White
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668,1460072.3599999887,209522,186681.8899999797,2278894.9399998933,23553.48000000173,17587.59,884182.8400000001,38.79875392588486,0.9715024945749948,1.5608095889164777,Kendall Jackson
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951,1452173.3099999838,40942,650905.3699999056,1975362.5799997945,32234.40000000341,68054.70000000003,621499.5599999999,31.46255610451346,0.9532257688994435,1.3602801858407771,Patron Silver
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596,1414552.9200000092,27756,496553.21999994986,1702090.4399999094,51001.77999999629,257032.0700000001,422446.32,24.8192640104378,0.8784656285605773,1.2032709529169812,Johnnie Walker
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645,1399080.1500000013,58159,496427.8299998984,1796606.4099997436,106855.25999998549,123780.21999999996,402460.2799999999,22.401137932044747,0.9590073377854728,1.2841340147665892,Kahlua
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249,1396130.770000004,62218,486312.4699999069,1982106.8199997928,114317.7599999872,257032.0700000001,762792.68,38.48393397890028,0.9683886130523433,1.4197143008314237,Baileys Irish
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546,1373128.4800000344,46610,585329.9699998999,1834148.899999776,85638.35999998594,257032.0700000001,517837.10000000015,28.23310037696849,0.9803138013713036,1.3357445619362072,Crown Royal
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078,1317439.4799999988,79042,121065.2500000112,1635666.5799999442,145234.9500000005,257032.0700000001,421293.8599999999,25.75670770261836,0.99954475328157,1.241549691527345,Capt Morgan
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349,1283470.6200000057,55792,452530.4699999105,1733522.0799998036,102510.81999998805,89286.26999999999,424577.12,24.49216683758929,0.9728504420303754,1.350651937790205,Bombay Sapphire
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388,1277758.760000023,32173,577840.0499999245,1661077.2699998557,59115.00999999043,89286.26999999999,377067.56,22.70018179226742,0.9636096801245956,1.299992864067569,Grey Goose
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936,1208990.7200000167,60176,385742.2799999151,1501075.7399997895,110562.0499999861,18544.49,329162.7199999999,21.92845512246078,0.9715835701369157,1.2415940959412564,Stolichnaya
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878,1205942.920000007,57038,287513.6799999621,1707550.619999886,59889.90000000221,89286.26999999999,732938.3,42.92337172411609,0.9525702261264573,1.4159464695060997,Grey Goose
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480,1193404.80000003,97386,301850.8099999192,1599550.13999972,178930.50000000533,123880.97,509328.7799999999,31.842001526759827,0.9596570752857706,1.3403248755155666,Pinnacle Vodka
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473,1190145.3300000117,93067,303177.0099999203,1524229.32999972,170993.74000000118,123880.97,444860.2599999998,29.18591390706814,0.954797738861018,1.2807085753129872,Canadian Club
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088,1163442.7199999734,57648,423967.599999906,1523737.5199997788,105917.55999998497,38994.78000000001,363182.3999999999,23.834971261983007,0.9756295694557272,1.3096798783525962,Jose Cuervo
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389,1106876.6099999847,74737,337001.68999992,1611752.6299997838,137318.20999999213,89286.26999999999,411053.4999999999,25.503510423932426,0.9783738496380368,1.456126740269456,Bacardi Superior
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380,1098336.0000000028,36640,340044.4399999755,1510044.0699999123,4106.829999999955,48347.26,468625.6000000001,31.03390220922674,0.907379891035166,1.374847105075231,Veuve Clicquot
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,72952,1073853.4400000074,70320,334529.1799999216,1400162.7999997844,55364.5200000064,257032.0700000001,370586.3999999999,26.467379364746503,0.963921482618708,1.3038676860780694,Baileys Irish
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,77066,1034996.3799999938,73662,326713.26999992563,1388498.379999766,135341.13999998776,38994.78000000001,409560.7199999999,29.49666531120252,0.95583006773415,1.3415490206833134,Three Olives
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,65382,1029112.6799999664,63089,347364.5099999154,1301434.109999788,115911.71999998654,20964.81,268128.2499999999,20.60252209003832,0.9649291854027102,1.2646176995893497,Skyy Vodka
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,29829,1014484.2900000048,28982,128644.41000000558,1507839.6799999704,3256.3199999999724,48347.26,550078.3600000001,36.48122325577816,0.971604814107077,1.4863115130151134,Moet &
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,46163,980963.75,44174,362163.9899999288,1161964.2599998566,81163.79999998583,123780.21999999996,253558.75999999992,21.821562738946135,0.9569135454801464,1.184512944540363,Beefeater
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,87954,976289.3999999904,82235,253446.3099999407,1145692.89999981,64743.850000007646,50293.62000000002,237659.15000000005,20.743704530248856,0.9349773745366896,1.173517708990614,Fireball Cinnamon
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,61639,975128.9800000096,59090,309528.79999993625,1270929.0999998478,108570.04999998728,123780.21999999996,364585.2999999999,28.686517603542445,0.9586463115884424,1.3033446098585189,Malibu Rum
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294,967725.9800000011,75147,177578.64999999318,1323223.529999905,138074.08999999802,89286.26999999999,287061.53999999986,21.69410787306816,1.100345564764108,1.3673535250132516,Bacardi Superior
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750.0,69299,953554.2399999768,68720,325301.7599999197,1319446.7999998042,54102.49000000595,144929.24,359405.5999999999,27.23911263417769,0.9916449010808236,1.3837144701908477,Tito's
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,22.99,750.0,52932,843206.7599999951,52404,388039.32999991335,1234467.959999801,41256.67000000513,68601.68000000001,369972.23999999993,29.9701775978098,0.9900249376558604,1.4640157296649376,Jack Daniels
